"family","order","class","final_min","final_max","final_mid","final_source","Body_Size","Body_Size_order"
"Phymatidae","Hemiptera","Insecta","8",12,10,"Milne & Milne","5-10 mm",4
"Reduviidae","Hemiptera","Insecta","12",36,24,"Milne & Milne",">20 mm",2
"Saldidae","Hemiptera","Insecta","4",5,4.5,"bugguide (range)","<5 mm",5
"Aphelinidae","Hymenoptera","Insecta","1",1,1,"Borror","<5 mm",5
"Braconidae","Hymenoptera","Insecta","2",15,15.5,"Milne & Milne","10-20 mm",3
"Chrysididae","Hymenoptera","Insecta","6",12,9,"Borror & White","5-10 mm",4
"Diprionidae","Hymenoptera","Insecta","6",12,9,"bugguide (range)","5-10 mm",4
"Formicidae","Hymenoptera","Insecta","1",25,13,"Milne & Milne","10-20 mm",3
"Ichneumonidae","Hymenoptera","Insecta","3",40,21.5,"Borror & White",">20 mm",2
"Mymaridae","Hymenoptera","Insecta","0.21",1,0.605,"Borror & White","<5 mm",5
"Pergidae","Hymenoptera","Insecta","3",10,6.5,"Sawfly GenUS","5-10 mm",4
"Platygastridae","Hymenoptera","Insecta","2",5,3.5,"Chen et al. (Zookeys)","<5 mm",5
"Scelionidae","Hymenoptera","Insecta","1",2,1.5,"Borror & White","<5 mm",5
"Tenthredinidae","Hymenoptera","Insecta","5",20,12.5,"Borror & White","10-20 mm",3
"Vespidae","Hymenoptera","Insecta","10",30,20,"Milne & Milne","10-20 mm",3
"Blastobasidae","Lepidoptera","Insecta","4",15,9.5,"Powel & Opler (MWN)","5-10 mm",4
"Bombycidae","Lepidoptera","Insecta","17.5",20,18.75,"Borror & White","10-20 mm",3
"Bucculatricidae","Lepidoptera","Insecta","2.5",7,4.75,"Powel & Opler (MWN)","<5 mm",5
"Cosmopterigidae","Lepidoptera","Insecta","2",13,7.5,"bugguide (range)","5-10 mm",4
"Crambidae","Lepidoptera","Insecta","5",17.5,11.25,"bugguide (range)","10-20 mm",3
"Elachistidae","Lepidoptera","Insecta","5",15,10,"Hodges 1999","5-10 mm",4
"Erebidae","Lepidoptera","Insecta","3",75,39,"Milne & Milne / Wikipedia",">20 mm",2
"Plutellidae","Lepidoptera","Insecta","4",8,6,"Dugdale et al. 1999","5-10 mm",4
"Gelechiidae","Lepidoptera","Insecta","5",8,6.5,"Hodges 1999 / Milne & Milne","5-10 mm",4
"Geometridae","Lepidoptera","Insecta","4",32.5,18.25,"Milne & Milne","10-20 mm",3
"Gracillariidae","Lepidoptera","Insecta","2",10,6,"Davis & Robinson 1999","5-10 mm",4
"Hesperiidae","Lepidoptera","Insecta","7",25,16,"Milne & Milne","10-20 mm",3
"Limacodidae","Lepidoptera","Insecta","4",35,19.5,"Powel & Opler (MWN)","10-20 mm",3
"Lycaenidae","Lepidoptera","Insecta","9.5",25.5,17.5,"Insects of Texas","10-20 mm",3
"Meessiidae","Lepidoptera","Insecta","2.5",6,4.25,"bugguide (range)","<5 mm",5
"Nepticulidae","Lepidoptera","Insecta","1.5",4.5,3,"bugguide (range)","<5 mm",5
"Noctuidae","Lepidoptera","Insecta","20",50,35,"Milne & Milne",">20 mm",2
"Notodontidae","Lepidoptera","Insecta","11",43,27,"Powel & Opler (MWN)",">20 mm",2
"Nymphalidae","Lepidoptera","Insecta","15",38,26.5,"Insects of Texas",">20 mm",2
"Oecophoridae","Lepidoptera","Insecta","4",23,13.5,"Powel & Opler (MWN)","10-20 mm",3
"Papilionidae","Lepidoptera","Insecta","25.5",63.5,44.5,"Insects of Texas",">20 mm",2
"Pyralidae","Lepidoptera","Insecta","5",30,17.5,"Powel & Opler (MWN)","10-20 mm",3
"Saturniidae","Lepidoptera","Insecta","12.5",76,44.25,"Insects of Texas",">20 mm",2
"Sphingidae","Lepidoptera","Insecta","25.5",63.5,44.5,"Insects of Texas",">20 mm",2
"Stathmopodidae","Lepidoptera","Insecta","3.5",7.5,5.5,"Microlep. of Europe","5-10 mm",4
"Tineidae","Lepidoptera","Insecta","2.5",25,13.75,"Powel & Opler (MWN)","10-20 mm",3
"Tortricidae","Lepidoptera","Insecta","8",35,21.5,"Milne & Milne",">20 mm",2
"Eremiaphilidae","Mantodea","Insecta","15",150,82.5,"Other",">20 mm",2
"Mantidae","Mantodea","Insecta","15",150,82.5,"Milne & Milne",">20 mm",2
"Chrysopidae","Neuroptera","Insecta","3",35,19,"Insect Biodiversity : Science and Society, Volume 2","10-20 mm",3
"Coniopterygidae","Neuroptera","Insecta","2",6,4,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
"Hemerobiidae","Neuroptera","Insecta","3",18,10.5,"Insect Biodiversity : Science and Society, Volume 2","10-20 mm",3
"Mantispidae","Neuroptera","Insecta","5",35,20,"Insect Biodiversity : Science and Society, Volume 2","10-20 mm",3
"Nymphidae","Neuroptera","Insecta","18",40,29,"Insect Biodiversity : Science and Society, Volume 2",">20 mm",2
"Coenagrionidae","Odonata","Insecta","20",50,35,"Borror",">20 mm",2
"Libellulidae","Odonata","Insecta","20",75,47.5,"Borror",">20 mm",2
"Acrididae","Orthoptera","Insecta","12",80,46,"Milne & Milne",">20 mm",2
"Gryllidae","Orthoptera","Insecta","9",25,17,"Milne & Milne","10-20 mm",3
"Rhaphidophoridae","Orthoptera","Insecta","19",50,34.5,"Insects of Texas",">20 mm",2
"Tettigoniidae","Orthoptera","Insecta","14",75,44.5,"Milne & Milne",">20 mm",2
"Diapheromeridae","Phasmatodea","Insecta","75",150,112.5,"Milne & Milne",">20 mm",2
"Amphipsocidae","Psocoptera","Insecta","3",4.5,3.75,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
"Caeciliusidae","Psocoptera","Insecta","2",4,3,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
"Ectopsocidae","Psocoptera","Insecta","1.5",2,1.75,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
"Lachesillidae","Psocoptera","Insecta","2",3,2.5,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
"Lepidopsocidae","Psocoptera","Insecta","1.1000000000000001",4,2.55,"bugguide (data)","<5 mm",5
"Myopsocidae","Psocoptera","Insecta","4",5,4.5,"Borror","<5 mm",5
"Peripsocidae","Psocoptera","Insecta","1.5",3,2.5,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
