"db","query","genus","family","order","class","phylum","kingdom"
"ncbi","Chironomidae",NA,"Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nylanderia flavipes","Nylanderia","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Libellulidae",NA,"Libellulidae","Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Braconidae",NA,"Braconidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Diapheromera femorata","Diapheromera","Diapheromeridae","Phasmatodea","Insecta","Arthropoda","Metazoa"
"ncbi","Mantis religiosa","Mantis","Mantidae","Mantodea","Insecta","Arthropoda","Metazoa"
"ncbi","Simulium verecundum","Simulium","Simuliidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Callimorpha","Callimorpha","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Madoniella dislocata","Madoniella","Cleridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psychodidae",NA,"Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Simulium","Simulium","Simuliidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nysius","Nysius","Lygaeidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Laemophloeus biguttatus","Laemophloeus","Laemophloeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lithobiomorpha",NA,NA,"Lithobiomorpha","Chilopoda","Arthropoda","Metazoa"
"ncbi","Micromus angulatus","Micromus","Hemerobiidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Erebidae",NA,"Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chilopoda",NA,NA,NA,"Chilopoda","Arthropoda","Metazoa"
"ncbi","Culex","Culex","Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sympetrum","Sympetrum","Libellulidae","Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Dectes","Dectes","Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cerdontha",NA,NA,NA,NA,NA,NA
"ncbi","Psyllobora vigintimaculata","Psyllobora","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phyllobaenus","Phyllobaenus","Cleridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tricorynus dichrous","Tricorynus","Ptinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Clogmia albipunctata","Clogmia","Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sylvicola fenestralis","Sylvicola","Anisopodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Carpophilus","Carpophilus","Nitidulidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tipulidae",NA,"Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phymata fasciata","Phymata","Phymatidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sericoderus","Sericoderus","Corylophidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Blattodea",NA,NA,"Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Mycetophila fungorum","Mycetophila","Mycetophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mycetophilidae",NA,"Mycetophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acrididae",NA,"Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Dolichopodidae",NA,"Dolichopodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phytocoris","Phytocoris","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mayetiola destructor","Mayetiola","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Blatta orientalis","Blatta","Blattidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Toramus pulchellus","Toramus","Erotylidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Serratella","Serratella","Ephemerellidae","Ephemeroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Leptoglossus zonatus","Leptoglossus","Coreidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pantala flavescens","Pantala","Libellulidae","Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Cinara","Cinara","Aphididae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scarabaeidae",NA,"Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cotinis","Cotinis","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scudderia furcata","Scudderia","Tettigoniidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Neuroptera",NA,NA,"Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Baetidae",NA,"Baetidae","Ephemeroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rhithrogena","Rhithrogena","Heptageniidae","Ephemeroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ephemeroptera",NA,NA,"Ephemeroptera","Insecta","Arthropoda","Metazoa"
