db,query,genus,family,order,class,phylum,kingdom
ncbi,Amara,Amara,Carabidae,Coleoptera,Insecta,Arthropoda,Metazoa
ncbi,Cerodontha,Cerodontha,Agromyzidae,Diptera,Insecta,Arthropoda,Metazoa
ncbi,Mantodea,NA,NA,Mantodea,Insecta,Arthropoda,Metazoa
